Departamento,Municipio,Padron,PINU-SD,PN,PL,UD,DC,"VotosValidos","VotosNulos","VotosBlancos","VotosEscrutados","PapeletasSobrantes"
Atlantida,LA CEIBA,"86,157","1,173","16,485","16,601",441,250,34950,2219,925,38094,"48,063"
Atlantida,EL PORVENIR,"10,004",295,"2,828","1,630",114,10,4877,277,141,5295,"4,709"
Atlantida,ESPARTA,"9,062",35,"2,422","1,988",46,5,4496,511,128,5135,"3,927"
Atlantida,JUTIAPA,"15,951",134,"3,981","3,672",39,40,7866,884,253,9003,"6,948"
Atlantida,LA MASICA,"15,838",60,"3,431","4,094",91,19,7695,651,251,8597,"7,241"
Atlantida,SAN FRANCISCO,"7,045",50,"1,469","1,952",25,11,3507,364,98,3969,"3,076"
Atlantida,TELA,"51,961",291,"8,858","8,429",702,"1,040",19320,1739,990,22049,"29,912"
Atlantida,ARIZONA,"13,236",96,"2,437","2,670",51,30,5284,685,309,6278,"6,958"
Colon,TRUJILLO,"27,144",66,"4,529","6,792",386,519,12292,932,488,13712,"13,432"
Colon,BALFATE,"4,716",135,453,400,88,4,1080,125,53,1258,"3,458"
Colon,IRIONA,"6,399",5,692,"1,167",41,5,1910,114,57,2081,"4,318"
Colon,LIMON,"5,299",6,"1,047","1,041",18,9,2121,129,45,2295,"3,004"
Colon,SABA,"17,902",92,"3,164","4,598",346,105,8305,476,253,9034,"8,868"
Colon,SANTA FE,"2,958",17,493,435,135,58,1138,117,28,1283,"1,675"
Colon,SANTA ROSA AGUAN,"3,119",7,662,693,13,1,1376,109,22,1507,"1,612"
Colon,SONAGUERA,"22,079",61,"4,146","4,879",470,108,9664,645,225,10534,"11,545"
Colon,TOCOA,"36,398",227,"5,867","8,571",844,163,15672,942,990,17604,"18,794"
Colon,BONITO ORIENTAL,"15,773",21,"2,391","2,990",377,35,5814,512,207,6533,"9,24"
Comayagua,COMAYAGUA,"58,918",122,"10,891","18,136",397,191,29737,2215,740,32692,"26,226"
Comayagua,AJUTERIQUE,"6,613",13,"1,899","1,724",108,9,3753,245,117,4115,"2,498"
Comayagua,EL ROSARIO,"10,812",34,"3,128","2,873",35,71,6141,534,226,6901,"3,911"
Comayagua,ESQUIAS,"7,805",20,"1,881","1,621",24,17,3563,488,172,4223,"3,582"
Comayagua,HUMUYA,"1,031",4,396,295,6,2,703,37,10,750,281
Comayagua,LA LIBERTAD,"10,933",41,"2,835","2,641",47,29,5593,419,167,6179,"4,754"
Comayagua,LAMANI,"3,432",9,964,"1,05",0,12,2035,92,39,2166,"1,266"
Comayagua,LA TRINIDAD,"2,311",7,553,739,5,3,1307,126,14,1447,864
Comayagua,LEJAMANI,"3,516",5,"1,219","1,194",14,7,2439,94,28,2561,955
Comayagua,MEAMBAR,"5,318",22,"1,044","1,585",11,11,2673,268,84,3025,"2,293"
Comayagua,MINAS DE ORO,"6,281",24,"1,593","1,647",16,29,3309,334,112,3755,"2,526"
Comayagua,OJOS DE AGUA,"4,757",4,"1,408","1,526",38,13,2989,207,69,3265,"1,492"
Comayagua,SAN JERONIMO,"9,743",5,"2,679","2,221",13,19,4937,448,149,5534,"4,209"
Comayagua,SAN JOSE DE COMAYAGUA,"3,986",13,815,898,33,272,2031,239,45,2315,"1,671"
Comayagua,SAN JOSE DEL POTRERO,"2,886",5,232,"1,277",17,16,1547,135,27,1709,"1,177"
Comayagua,SAN LUIS,"4,526",12,"1,157","1,376",8,7,2560,194,58,2812,"1,714"
Comayagua,SAN SEBASTIAN,"2,061",2,688,630,4,7,1331,77,29,1437,624
Comayagua,SIGUATEPEQUE,"41,035",493,"5,624","12,795",250,204,19366,1467,494,21327,"19,708"
Comayagua,VILLA DE SAN ANTONIO,"9,488",55,"2,114","1,896",131,103,4299,371,246,4916,"4,572"
Comayagua,LAS LAJAS,"5,739",14,737,"1,453",242,5,2451,257,70,2778,"2,961"
Comayagua,TAULABE,"12,703",177,"2,216","3,794",45,32,6264,597,239,7100,"5,603"
Copan,SANTA ROSA DE COPAN,"27,380",523,"5,785","7,336",60,59,13763,978,350,15091,"12,289"
Copan,CABAÑAS,"5,696",26,"1,804","2,103",10,24,3967,285,70,4322,"1,374"
Copan,CONCEPCION,"3,104",16,887,741,6,13,1663,199,42,1904,"1,2"
Copan,COPAN RUINAS,"17,762",22,"4,685","5,829",40,33,10609,1076,199,11884,"5,878"
Copan,CORQUIN,"7,021",6,"2,585","2,138",7,4,4740,223,67,5030,"1,991"
Copan,CUCUYAGUA,"6,499",11,"1,566","2,278",25,6,3886,424,94,4404,"2,095"
Copan,DOLORES,"2,622",4,671,816,0,13,1504,140,38,1682,940
Copan,DULCE NOMBRE,"3,159",4,909,895,16,6,1830,123,31,1984,"1,175"
Copan,EL PARAISO,"10,978",16,"3,351","1,499",1,26,4893,363,203,5459,"5,519"
Copan,FLORIDA,"14,162",692,"2,061","3,134",20,22,5929,789,210,6928,"7,234"
Copan,LA JIGUA,"5,322",29,"1,253",997,0,18,2297,211,102,2610,"2,712"
Copan,LA UNION,"5,961",17,"2,442","1,496",1,11,3967,175,90,4232,"1,729"
Copan,NUEVA ARCADIA,"19,468",71,"3,808","5,434",0,109,9422,743,300,10465,"9,003"
Copan,SAN AGUSTIN,"2,257",5,671,605,4,2,1287,127,19,1433,824
Copan,SAN ANTONIO,"5,604",11,"1,619","1,553",8,11,3202,318,91,3611,"1,993"
Copan,SAN JERONIMO,"3,148",1,800,"1,253",1,14,2069,129,33,2231,917
Copan,SAN JOSE,"3,865",6,"1,276","1,461",1,2,2746,172,24,2942,923
Copan,SAN JUAN DE OPOA,"4,494",15,"1,433","1,385",5,16,2854,251,61,3166,"1,328"
Copan,SAN NICOLAS,"3,974",11,"1,094","1,638",1,11,2755,194,43,2992,982
Copan,SAN PEDRO,"3,965",3,"1,265","1,418",0,3,2689,94,46,2829,"1,136"
Copan,SANTA RITA,"12,027",40,"2,998","2,696",136,11,5881,502,164,6547,"5,48"
Copan,TRINIDAD,"3,848",6,"1,271","1,026",2,17,2322,228,26,2576,"1,272"
Copan,VERACRUZ,"1,807",7,414,525,48,10,1004,92,58,1154,653
Cortes,SAN PEDRO SULA,"353,072","2,301","64,053","66,131","3,123","1,727",137335,5889,2787,146011,"207,061"
Cortes,CHOLOMA,"89,539","2,507",10600,"15,134",691,"1,480",30412,2343,934,33689,"55,85"
Cortes,OMOA,"23,217",104,"3,365","4,844",114,"1,165",9592,975,427,10994,"12,223"
Cortes,PIMIENTA,"8,354",65,"2,856","1,403",25,78,4427,217,72,4716,"3,638"
Cortes,POTRERILLOS,"14,312",68,"2,318","2,374",48,84,4892,260,115,5267,"9,045"
Cortes,PUERTO CORTES,"65,107",397,"12,246","15,077",506,232,28458,1626,685,30769,"34,338"
Cortes,SAN ANTONIO DE CORTES,"11,593",29,"2,779","2,530",62,84,5484,405,148,6037,"5,556"
Cortes,SAN FRANCISCO DE YOJOA,"10,754",139,"1,978","2,670",70,202,5059,404,113,5576,"5,178"
Cortes,SAN MANUEL,"16,960",403,"1,769","3,705",352,212,6441,386,212,7039,"9,921"
Cortes,SANTA CRUZ DE YOJOA,"36,839",193,"7,306","8,370",109,262,16240,1423,498,18161,"18,678"
Cortes,VILLANUEVA,52600,430,"11,145","10,167",352,931,23025,1383,633,25041,"27,559"
Cortes,LA LIMA,"49,899","1,294","7,265","7,014","1,093",857,17523,889,452,18864,"31,035"
Choluteca,CHOLUTECA,76410,432,"15,599","19,575",839,"1,405",37850,3360,2125,43335,"33,075"
Choluteca,APACILAGUA,"5,612",8,"1,285","1,757",13,86,3149,256,91,3496,"2,116"
Choluteca,CONCEPCION DE MARIA,"13,549",48,"4,456","3,416",6,70,7996,542,182,8720,"4,829"
Choluteca,DUYURE,"2,585",16,"1,087",863,0,7,1973,44,14,2031,554
Choluteca,EL CORPUS,"11,261",38,"3,675","2,031",61,221,6026,855,300,7181,"4,08"
Choluteca,EL TRIUNFO,"23,336",76,"6,724","6,335",143,206,13484,1295,301,"15,08","8,256"
Choluteca,MARCOVIA,"22,089",554,"3,101","6,127",49,383,10214,1055,418,11687,"10,402"
Choluteca,MOROLICA,"3,916",14,"1,181","1,278",0,0,2473,116,42,2631,"1,285"
Choluteca,NAMASIGUE,"15,411",191,"3,894","5,433",46,62,9626,626,156,10408,"5,003"
Choluteca,OROCUINA,"10,492",63,"2,807","2,771",38,23,5702,525,250,6477,"4,015"
Choluteca,PESPIRE,16540,63,"3,979","4,372",64,461,8939,659,453,10051,"6,489"
Choluteca,SAN ANTONIO DE FLORES,"3,951",8,"1,451","1,156",0,8,2623,89,46,2758,"1,193"
Choluteca,SAN ISIDRO,"2,922",20,954,756,0,6,1736,85,42,1863,"1,059"
Choluteca,SAN JOSE,"2,418",11,575,696,0,15,1297,72,32,1401,"1,017"
Choluteca,SAN MARCOS DE COLON,"16,653",27,"4,293","4,373",81,73,8847,731,217,9795,"6,858"
Choluteca,SANTA ANA DE YUSGUARE,"7,187",41,"2,427","2,046",40,38,4592,388,141,5121,"2,066"
El Paraiso,YUSCARAN,"8,313",21,"2,784","2,519",42,45,5411,368,133,5912,"2,401"
El Paraiso,ALAUCA,"5,972",11,"2,129","2,309",8,10,4467,249,68,4784,"1,188"
El Paraiso,DANLI,"85,779",404,"15,259","24,57","2,577",361,43171,4747,2529,50447,"35,332"
El Paraiso,EL PARAISO,"25,091",65,"4,985","9,024",361,82,14517,1346,503,16366,"8,725"
El Paraiso,GUINOPE,"5,073",15,1500,"1,702",0,96,3313,171,107,3591,"1,482"
El Paraiso,JACALEAPA,"3,197",5,"1,097","1,098",5,2,2207,117,30,2354,843
El Paraiso,LIURE,"6,185",14,"2,585","1,961",6,3,4569,229,49,4847,"1,338"
El Paraiso,MOROCELI,7580,21,"1,827","1,986",13,34,3881,464,92,4437,"3,143"
El Paraiso,OROPOLI,"4,467",5,"1,817","1,565",1,3,3391,143,50,3584,883
El Paraiso,POTRERILLOS,"1,818",4,592,473,6,18,1093,66,38,1197,621
El Paraiso,SAN ANTONIO DE FLORES,"3,343",5,"1,162","1,335",6,6,2514,145,40,2699,644
El Paraiso,SAN LUCAS,"4,327",17,"1,377","1,504",107,16,3021,203,74,3298,"1,029"
El Paraiso,SAN MATIAS,"2,493",6,702,935,35,9,1687,63,29,1779,714
El Paraiso,SOLEDAD,"5,638",20,"1,013","2,095",9,29,3166,309,118,3593,"2,045"
El Paraiso,TEUPASENTI,"16,302",27,"5,292","4,64",82,92,10133,1059,311,11503,"4,799"
El Paraiso,TEXIGUAT,"5,472",15,"1,031","1,857",46,28,2977,333,93,3403,"2,069"
El Paraiso,VADO ANCHO,"2,297",8,733,911,3,4,1659,92,34,1785,512
El Paraiso,YAUYUPE,"1,071",13,316,370,0,12,711,24,14,749,322
El Paraiso,TROJES,"21,079",34,"5,354","5,796",268,67,11519,1169,373,13061,"8,018"
Francisco Morazan,DISTRITO CENTRAL,"598,922","29,564","173,035","107,733","6,980","5,891",323203,15868,7361,346432,"252,49"
Francisco Morazan,ALUBAREN,"3,007",24,973,990,21,47,2055,158,22,2235,772
Francisco Morazan,CEDROS,"11,003",177,"2,661","2,172",124,21,5155,709,312,6176,"4,827"
Francisco Morazan,CURAREN,"9,066",23,"2,382","2,833",23,13,5274,382,115,5771,"3,295"
Francisco Morazan,EL PORVENIR,"9,279",18,"2,429","2,264",12,4,4727,347,100,5174,"4,105"
Francisco Morazan,GUAIMACA,"13,991",61,"3,892","3,65",50,137,7790,621,220,8631,"5,36"
Francisco Morazan,LA LIBERTAD,"2,306",10,844,666,1,5,1526,78,20,1624,682
Francisco Morazan,LA VENTA,"4,119",59,823,784,181,65,1912,215,98,2225,"1,894"
Francisco Morazan,LEPATERIQUE,"7,777",222,"1,971","1,437",31,784,4445,476,164,5085,"2,692"
Francisco Morazan,MARAITA,"4,167",8,"1,724","1,281",15,7,3035,252,43,3330,837
Francisco Morazan,MARALE,"4,478",17,964,897,8,10,1896,382,104,2382,"2,096"
Francisco Morazan,NUEVA ARMENIA,"2,782",7,118,753,3,903,1784,79,22,1885,897
Francisco Morazan,OJOJONA,"5,817",90,"1,635","1,821",36,79,3661,365,98,4124,"1,693"
Francisco Morazan,ORICA,"7,032",19,"1,743","2,036",53,16,3867,342,91,4300,"2,732"
Francisco Morazan,REITOCA,"5,564",5,"1,501","1,659",37,87,3289,322,117,3728,"1,836"
Francisco Morazan,SABANAGRANDE,"10,531",84,"2,544","2,709",395,25,5757,529,234,6520,"4,011"
Francisco Morazan,SAN ANTONIO DE ORIENTE,"6,415",264,"1,238","1,712",16,38,3268,293,101,3662,"2,753"
Francisco Morazan,SAN BUENAVENTURA,"2,294",72,672,978,5,8,1735,104,47,1886,408
Francisco Morazan,SAN IGNACIO,"6,526",10,"1,987","2,147",36,9,4189,198,36,4423,"2,103"
Francisco Morazan,SAN JUAN DE FLORES,"7,274",7,"2,013","2,328",163,11,4522,372,95,4989,"2,285"
Francisco Morazan,SAN MIGUELITO,"1,655",5,444,502,11,42,1004,45,49,1098,557
Francisco Morazan,SANTA ANA,"5,678",94,"1,956","1,373",43,64,3530,264,128,3922,"1,756"
Francisco Morazan,SANTA LUCIA,"4,827",74,"1,611","1,259",43,448,3435,270,74,3779,"1,048"
Francisco Morazan,TALANGA,"18,358",180,"4,877","4,235",77,97,9466,777,194,10437,"7,921"
Francisco Morazan,TATUMBLA,3440,5,961,"1,203",33,9,2211,204,46,24610,979
Francisco Morazan,VALLE DE ANGELES,"7,938",80,"2,557","1,852",65,181,4735,347,151,5233,"2,705"
Francisco Morazan,VILLA SAN FRANCISCO,"5,698",18,"1,964","1,587",67,31,3667,224,60,3951,"1,747"
Francisco Morazan,VALLECILLOS,"4,242",14,543,697,444,324,2022,290,53,2365,"1,877"
Gracias a Dios,PUERTO LEMPIRA,"11,382",87,2280,"3,772",172,144,6455,395,196,7046,"4,336"
Gracias a Dios,BRUS LAGUNA,"4,032",16,"1,311",912,4,6,2249,132,29,2410,"1,622"
Gracias a Dios,AHUAS,"2,364",82,529,822,48,13,1494,85,20,1599,765
Gracias a Dios,JUAN FRANCISCO BULNES,"1,871",0,619,369,2,4,994,28,13,1035,836
Gracias a Dios,VILLEDA MORALES,"2,361",13,431,932,11,5,1392,54,31,1477,884
Gracias a Dios,WAMPUSIRPI,1670,0,330,626,238,1,1195,50,13,1258,412
